name,community,final_community,community_name
deray,1,1,BLM
nettaaaaaaaa,1,1,BLM
shaunking,1,1,BLM
djolder,1,1,BLM
bassem_masri,1,1,BLM
handsupunited_,1,1,BLM
re_invent_ed,1,1,BLM
brownblaze,1,1,BLM
awkward_duck,1,1,BLM
anonymouspress,2,2,hacktivist_orgs
anonyops,2,2,hacktivist_orgs
anonypress,2,2,hacktivist_orgs
bipartisanism,2,2,hacktivist_orgs
crypt0nymous,2,2,hacktivist_orgs
occupythemob,2,2,hacktivist_orgs
youranoncentral,2,2,hacktivist_orgs
youranonglobal,2,2,hacktivist_orgs
youranonlive,2,2,hacktivist_orgs
youranonnews,2,2,hacktivist_orgs
pharrell,3,2408214,black_entertainers_and_YBT
50cent,3,35218,unknown
nas,3,2408214,black_entertainers_and_YBT
kanyewest,3,2408214,black_entertainers_and_YBT
vibemagazine,3,2408214,black_entertainers_and_YBT
XXL,3,2408214,black_entertainers_and_YBT
thesource,3,2408214,black_entertainers_and_YBT
kerrywashington,3,2408214,black_entertainers_and_YBT
ijessewilliams,3,2408214,black_entertainers_and_YBT
iamrashidajones,3,2408214,black_entertainers_and_YBT
rsherman_25,3,17957,unknown
kobebryant,3,2408214,black_entertainers_and_YBT
larryelder,4,4,conservatives
waynedupreeshow,4,4,conservatives
patdollard,4,4,conservatives
seanhannity,4,4,conservatives
gopblackchick,4,4,conservatives
amymek,4,4,conservatives
foxnews,4,4,conservatives
washtimes,4,4,conservatives
theblaze,4,4,conservatives
CNN,5,201,mainstream_news
nytimes,5,201,mainstream_news
AP,5,201,mainstream_news
latimes,5,201,mainstream_news
CBSNews,5,201,mainstream_news
Reuters,5,201,mainstream_news
mashable,5,201,mainstream_news
BuzzFeed,5,201,mainstream_news
thedailybeast,5,201,mainstream_news
HuffPost,5,201,mainstream_news
bestcomedyvine,6,2408214,black_entertainers_and_YBT
commonblackgiri,6,45750,unknown
drugfambeezy,6,2408214,black_entertainers_and_YBT
freetopher,6,2408214,black_entertainers_and_YBT
hbcufessions,6,2408214,black_entertainers_and_YBT
igivebootyrubs,6,2408214,black_entertainers_and_YBT
ikeepittooreal,6,2408214,black_entertainers_and_YBT
jabarithegreat,6,2408214,black_entertainers_and_YBT
ultralightskin,6,2408214,black_entertainers_and_YBT